CBFC,CKFL,Pulpa 262,Pulpa 261,Recorte Maule,Rec.Virtual,Rec.Fab,Rec.Recirculado area 070,Pulpa SGW,CEL B,Rec. kraft,Encolante,Sulfato,Antiespumante,Retentor,Perform,Catiofast GM,Polymin SK,Almidon oxidado,almidon nativo, Aditivos extras ,Temperatura Pope,Gramaje                         ,Espesor                             ,Humedad                            ,Cobb Tripa               ,Cobb Reverso           ,Rig. Taber Long             ,Rig. Taber Trans.            ,Internal bond                   ,Tersura Cara                      ,Tersura Reverso,Blancura Cara       ,Blancura Reverso,Curvatura Cara L.,Curvatura Cara T.               ,FL CARA,L*CARA,a*CARA,Kit
0.02314,0.18096,0,0.208264,0.312396,0,0,0.03719,0.18595,0.0221,0,0.0000537181377712239,0.000334647446507569,0.00000767401968160342,0,0.00000255800656053447,0.00000722260675915616,0,0.018,0.006,0.00559417978272022,50.1,257.3,406,8.5,0.63,0.33,13.9,5.4,295,161,342,32.81,31.68,0,1.5,-0.17,76.2,3.84,12
0.02314,0.18096,0,0.208264,0.312396,0,0,0.03719,0.18595,0.0221,0,0.0000537181377712239,0.000334647446507569,0.00000767401968160342,0,0.00000255800656053447,0.00000722260675915616,0,0.018,0.006,0.00559417978272022,49.7,252.4,408,8.1,0.59,0.32,13.7,5.2,295,176,334,31.57,32.96,0,1.5,-0.17,75.8,4.1,12
0.02314,0.18096,0,0.208264,0.312396,0,0,0.03719,0.18595,0.0221,0,0.0000537181377712239,0.000334647446507569,0.00000767401968160342,0,0.00000255800656053447,0.00000722260675915616,0,0.018,0.006,0.00559417978272022,48.5,256,406,8.3,0.62,0.32,13.7,5.3,295,165,331,32.61,30.12,0,1.4,-0.17,75.7,4.08,12
0.02314,0.18096,0,0.208264,0.312396,0,0,0.03719,0.18595,0.0221,0,0.0000537181377712239,0.000334647446507569,0.00000767401968160342,0,0.00000255800656053447,0.00000722260675915616,0,0.018,0.006,0.00559417978272022,46.4,256.1,407,8.8,0.37,0.29,15.1,5.4,295,184,341,31.64,31.3,0,1.2,-0.18,75.8,3.96,12
0.02314,0.18096,0,0.208264,0.312396,0,0,0.03719,0.18595,0.0221,0,0.0000537181377712239,0.000334647446507569,0.00000767401968160342,0,0.00000255800656053447,0.00000722260675915616,0,0.018,0.006,0.00559417978272022,45.2,256.1,408,8.5,0.42,0.28,14.9,5.4,292,181,337,31.53,31.26,0,1.2,-1.18,75.6,3.94,12
0.02314,0.18096,0,0.208264,0.312396,0,0,0.03719,0.18595,0.0221,0,0.0000537181377712239,0.000334647446507569,0.00000767401968160342,0,0.00000255800656053447,0.00000722260675915616,0,0.018,0.006,0.00559417978272022,44.5,253.8,415,8.6,0.45,0.37,14.7,5.5,292,159,316,32.08,32.7,0,1.2,-0.1,76,3.86,12
0.02314,0.18096,0,0.208264,0.312396,0,0,0.03719,0.18595,0.0221,0,0.0000537181377712239,0.000334647446507569,0.00000767401968160342,0,0.00000255800656053447,0.00000722260675915616,0,0.018,0.006,0.00559417978272022,45.1,255.8,411,8.6,0.46,0.36,14.6,5.5,292,171,321,32.45,31.86,0,1.2,-0.12,75.4,3.82,12
0,0.15782,0,0.1695864,0.2543796,0,0.01157,0.126446,0.193388,0.0221,0.03471,0.0000451567944250871,0.000322369337979094,0.00000668989547038327,0.00000348432055749129,0,0,0,0.018,0.006,0.00562229965156821,45,255.1,411,9,0.6,0.33,14.2,5.4,250,170,326,30.26,29.96,0,2,-0.16,74.7,4.24,12
0,0.15782,0,0.1695864,0.2543796,0,0.01157,0.126446,0.193388,0.0221,0.03471,0.0000451567944250871,0.000322369337979094,0.00000668989547038327,0.00000348432055749129,0,0,0,0.018,0.006,0.00562229965156821,43,253.9,413,8.9,0.61,0.3,14.4,5.6,250,186,322,32,29.77,0,2,-0.17,74.9,4.23,12
0,0.15782,0,0.1695864,0.2543796,0,0.01157,0.126446,0.193388,0.0221,0.03471,0.0000451567944250871,0.000322369337979094,0.00000668989547038327,0.00000348432055749129,0,0,0,0.018,0.006,0.00562229965156821,43,259.8,420,8.9,0.46,0.29,15,5.4,250,157,354,31.14,31.46,0,2,-0.18,75.9,3.85,12
